site,lifeform,transect,plot,cover
swamp,grass,Tran_01,Plot_01,80
swamp,grass,Tran_01,Plot_01,20
swamp,grass,Tran_01,Plot_01,16
swamp,tree,Tran_01,Plot_01,70
swamp,grass,Tran_01,Plot_02,20
swamp,sedge,Tran_01,Plot_02,40
swamp,sedge,Tran_01,Plot_02,45
swamp,shrub,Tran_01,Plot_02,50
swamp,shrub,Tran_01,Plot_02,80
swamp,sedge,Tran_01,Plot_03,10
swamp,herb,Tran_01,Plot_03,2
swamp,herb,Tran_01,Plot_03,5
swamp,herb,Tran_01,Plot_03,1
swamp,shrub,Tran_01,Plot_03,30
swamp,shrub,Tran_01,Plot_03,90
swamp,shrub,Tran_01,Plot_03,12
swamp,shrub,Tran_01,Plot_04,10
swamp,shrub,Tran_01,Plot_04,40
swamp,shrub,Tran_01,Plot_04,100
swamp,shrub,Tran_01,Plot_05,100
swamp,herb,Tran_01,Plot_06,80
swamp,herb,Tran_01,Plot_06,15
swamp,herb,Tran_01,Plot_06,20
swamp,tree,Tran_01,Plot_06,80
swamp,grass,Tran_01,Plot_07,100
swamp,grass,Tran_01,Plot_07,10
swamp,grass,Tran_01,Plot_07,5
swamp,herb,Tran_01,Plot_07,5
swamp,herb,Tran_01,Plot_07,5
swamp,tree,Tran_01,Plot_07,5
swamp,tree,Tran_01,Plot_08,100
swamp,grass,Tran_01,Plot_08,100
swamp,grass,Tran_01,Plot_09,90
swamp,grass,Tran_01,Plot_09,9
swamp,grass,Tran_01,Plot_09,3
swamp,herb,Tran_01,Plot_09,2
swamp,herb,Tran_01,Plot_09,1
swamp,sedge,Tran_01,Plot_09,1
swamp,grass,Tran_02,Plot_01,65
swamp,grass,Tran_02,Plot_01,15
swamp,grass,Tran_02,Plot_01,16
swamp,tree,Tran_02,Plot_01,50
swamp,grass,Tran_02,Plot_02,34
swamp,sedge,Tran_02,Plot_02,33
swamp,sedge,Tran_02,Plot_02,10
swamp,shrub,Tran_02,Plot_02,50
swamp,shrub,Tran_02,Plot_02,90
swamp,sedge,Tran_02,Plot_03,5
swamp,herb,Tran_02,Plot_03,1
swamp,herb,Tran_02,Plot_03,1
swamp,herb,Tran_02,Plot_03,2
swamp,shrub,Tran_02,Plot_03,29
swamp,shrub,Tran_02,Plot_03,100
swamp,shrub,Tran_02,Plot_03,50
swamp,shrub,Tran_02,Plot_04,20
swamp,shrub,Tran_02,Plot_04,1
swamp,shrub,Tran_02,Plot_04,100
swamp,shrub,Tran_02,Plot_05,100
swamp,herb,Tran_02,Plot_06,65
swamp,herb,Tran_02,Plot_06,23
swamp,herb,Tran_02,Plot_06,1
swamp,tree,Tran_02,Plot_06,70
swamp,grass,Tran_02,Plot_07,100
swamp,grass,Tran_02,Plot_07,1
swamp,grass,Tran_02,Plot_07,1
swamp,herb,Tran_02,Plot_07,2
swamp,herb,Tran_02,Plot_07,4
swamp,tree,Tran_02,Plot_07,20
swamp,tree,Tran_02,Plot_08,100
swamp,grass,Tran_02,Plot_08,70
swamp,grass,Tran_02,Plot_09,1
swamp,grass,Tran_02,Plot_09,10
swamp,grass,Tran_02,Plot_09,1
swamp,herb,Tran_02,Plot_09,5
swamp,herb,Tran_02,Plot_09,6
swamp,sedge,Tran_02,Plot_09,1
swamp,grass,Tran_03,Plot_01,89
swamp,grass,Tran_03,Plot_01,1
swamp,grass,Tran_03,Plot_01,1
swamp,tree,Tran_03,Plot_01,70
swamp,grass,Tran_03,Plot_02,20
swamp,sedge,Tran_03,Plot_02,43
swamp,sedge,Tran_03,Plot_02,34
swamp,shrub,Tran_03,Plot_02,5
swamp,shrub,Tran_03,Plot_02,65
swamp,sedge,Tran_03,Plot_03,10
swamp,herb,Tran_03,Plot_03,2
swamp,herb,Tran_03,Plot_03,5
swamp,herb,Tran_03,Plot_03,1
swamp,shrub,Tran_03,Plot_03,23
swamp,shrub,Tran_03,Plot_03,95
swamp,shrub,Tran_03,Plot_03,12
swamp,shrub,Tran_03,Plot_04,2
swamp,shrub,Tran_03,Plot_04,50
swamp,shrub,Tran_03,Plot_04,50
swamp,shrub,Tran_03,Plot_05,70
swamp,herb,Tran_03,Plot_06,77
swamp,herb,Tran_03,Plot_06,10
swamp,herb,Tran_03,Plot_06,1
swamp,tree,Tran_03,Plot_06,77
swamp,grass,Tran_03,Plot_07,60
swamp,grass,Tran_03,Plot_07,40
swamp,grass,Tran_03,Plot_07,1
swamp,herb,Tran_03,Plot_07,1
swamp,herb,Tran_03,Plot_07,3
swamp,tree,Tran_03,Plot_07,40
swamp,tree,Tran_03,Plot_08,80
swamp,grass,Tran_03,Plot_08,60
swamp,grass,Tran_03,Plot_09,40
swamp,grass,Tran_03,Plot_09,30
swamp,grass,Tran_03,Plot_09,1
swamp,herb,Tran_03,Plot_09,4
swamp,herb,Tran_03,Plot_09,4
swamp,sedge,Tran_03,Plot_09,1
swamp,grass,Tran_04,Plot_01,79
swamp,grass,Tran_04,Plot_01,86
swamp,grass,Tran_04,Plot_01,35
swamp,tree,Tran_04,Plot_01,85
swamp,grass,Tran_04,Plot_02,20
swamp,sedge,Tran_04,Plot_02,37
swamp,sedge,Tran_04,Plot_02,40
swamp,shrub,Tran_04,Plot_02,45
swamp,shrub,Tran_04,Plot_02,78
swamp,sedge,Tran_04,Plot_03,3
swamp,herb,Tran_04,Plot_03,2
swamp,herb,Tran_04,Plot_03,5
swamp,herb,Tran_04,Plot_03,1
swamp,shrub,Tran_04,Plot_03,30
swamp,shrub,Tran_04,Plot_03,90
swamp,shrub,Tran_04,Plot_03,12
swamp,shrub,Tran_04,Plot_04,10
swamp,shrub,Tran_04,Plot_04,40
swamp,shrub,Tran_04,Plot_04,79
swamp,shrub,Tran_04,Plot_05,55
swamp,herb,Tran_04,Plot_06,80
swamp,herb,Tran_04,Plot_06,15
swamp,herb,Tran_04,Plot_06,20
swamp,tree,Tran_04,Plot_06,80
swamp,grass,Tran_04,Plot_07,98
swamp,grass,Tran_04,Plot_07,10
swamp,grass,Tran_04,Plot_07,5
swamp,herb,Tran_04,Plot_07,5
swamp,herb,Tran_04,Plot_07,5
swamp,tree,Tran_04,Plot_07,5
swamp,tree,Tran_04,Plot_08,100
swamp,grass,Tran_04,Plot_08,3
swamp,grass,Tran_04,Plot_09,68
swamp,grass,Tran_04,Plot_09,1
swamp,grass,Tran_04,Plot_09,1
swamp,herb,Tran_04,Plot_09,3
swamp,herb,Tran_04,Plot_09,5
swamp,sedge,Tran_04,Plot_09,3
